
INFO:root:episode:1  step:1 Cost:23.485760722313383 min Cost:-1 Reward:0 global reward:0 Action:[2, 3]
INFO:root:episode:1  step:2 Cost:43.987983118935105 min Cost:-1 Reward:0 global reward:0 Action:[0, 0]
INFO:root:episode:1  step:3 Cost:55.86070862398326 min Cost:-1 Reward:0 global reward:0 Action:[1, 5]
INFO:root:episode:1  step:4 Cost:44.6372979826414 min Cost:-1 Reward:0 global reward:0 Action:[3, 2]
INFO:root:episode:1  step:5 Cost:44.57237792381567 min Cost:-1 Reward:0 global reward:0 Action:[3, 1]
INFO:root:episode:1  step:6 Cost:48.73904459048234 min Cost:-1 Reward:0 global reward:0 Action:[2, 4]
INFO:root:episode:2  step:1 Cost:23.485760722313383 min Cost:23.485760722313383 Reward:0 global reward:0 Action:[2, 3]
INFO:root:episode:2  step:2 Cost:40.727471962562284 min Cost:43.987983118935105 Reward:0 global reward:0 Action:[0, 0]
INFO:root:episode:2  step:3 Cost:55.03440253925884 min Cost:55.86070862398326 Reward:0 global reward:0 Action:[1, 5]
INFO:root:episode:2  step:4 Cost:43.957323220784076 min Cost:44.6372979826414 Reward:0 global reward:0 Action:[3, 2]
INFO:root:episode:2  step:5 Cost:43.957323220784076 min Cost:44.57237792381567 Reward:0 global reward:0 Action:[3, 1]
INFO:root:episode:2  step:6 Cost:48.12398988745073 min Cost:48.73904459048234 Reward:100 global reward:100 Action:[2, 4]
INFO:root:episode:3  step:1 Cost:23.485760722313383 min Cost:23.485760722313383 Reward:0 global reward:100 Action:[2, 3]
INFO:root:episode:3  step:2 Cost:23.971902392132087 min Cost:43.987983118935105 Reward:0 global reward:100 Action:[3, 1]
INFO:root:episode:3  step:3 Cost:41.05688397208894 min Cost:55.86070862398326 Reward:0 global reward:100 Action:[1, 5]
INFO:root:episode:3  step:4 Cost:43.957323220784076 min Cost:44.6372979826414 Reward:0 global reward:100 Action:[0, 0]
INFO:root:episode:3  step:5 Cost:43.957323220784076 min Cost:44.57237792381567 Reward:0 global reward:100 Action:[3, 2]
INFO:root:episode:3  step:6 Cost:68.97771621814206 min Cost:48.12398988745073 Reward:-208.5372633069133 global reward:100 Action:[2, 4]
INFO:root:episode:4  step:1 Cost:58.853910911875374 min Cost:23.485760722313383 Reward:0 global reward:100 Action:[2, 3]
INFO:root:episode:4  step:2 Cost:71.90212284139761 min Cost:43.987983118935105 Reward:0 global reward:100 Action:[0, 0]
INFO:root:episode:4  step:3 Cost:80.23545617473093 min Cost:55.86070862398326 Reward:0 global reward:100 Action:[2, 5]
INFO:root:episode:4  step:4 Cost:71.771636335399 min Cost:44.6372979826414 Reward:0 global reward:100 Action:[3, 2]
INFO:root:episode:4  step:5 Cost:60.64438288480872 min Cost:44.57237792381567 Reward:0 global reward:100 Action:[1, 4]
INFO:root:episode:4  step:6 Cost:60.64438288480872 min Cost:48.12398988745073 Reward:-125.20392997357987 global reward:100 Action:[1, 1]
INFO:root:episode:5  step:1 Cost:58.853910911875374 min Cost:23.485760722313383 Reward:0 global reward:100 Action:[2, 3]
INFO:root:episode:5  step:2 Cost:80.38679954527883 min Cost:43.987983118935105 Reward:0 global reward:100 Action:[0, 0]
INFO:root:episode:5  step:3 Cost:79.59868095099193 min Cost:55.86070862398326 Reward:0 global reward:100 Action:[1, 5]
INFO:root:episode:5  step:4 Cost:87.93201428432526 min Cost:44.6372979826414 Reward:0 global reward:100 Action:[1, 1]
INFO:root:episode:5  step:5 Cost:75.43201428432526 min Cost:44.57237792381567 Reward:0 global reward:100 Action:[1, 2]
INFO:root:episode:5  step:6 Cost:75.43201428432526 min Cost:48.12398988745073 Reward:-273.0802439687453 global reward:100 Action:[2, 4]
INFO:root:episode:6  step:1 Cost:41.195463514457174 min Cost:23.485760722313383 Reward:0 global reward:100 Action:[1, 1]
INFO:root:episode:6  step:2 Cost:55.20018717567405 min Cost:43.987983118935105 Reward:0 global reward:100 Action:[3, 2]
